"","date","datatype","station","value","fl_m","fl_q","fl_so","fl_t"
"235","2016-02-28T00:00:00","TMIN","GHCND:USW00014836",22,"","","W","2400"
"236","2016-02-28T00:00:00","WDF2","GHCND:USW00014836",220,"","","W",""
"237","2016-02-28T00:00:00","WSF2","GHCND:USW00014836",116,"","","W",""
"238","2016-02-28T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"239","2016-02-29T00:00:00","AWND","GHCND:USW00014836",72,"","","W",""
"240","2016-02-29T00:00:00","PRCP","GHCND:USW00014836",0,"T","","W","2400"
"241","2016-02-29T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"242","2016-02-29T00:00:00","TAVG","GHCND:USW00014836",34,"H","","S",""
"243","2016-02-29T00:00:00","TMAX","GHCND:USW00014836",67,"","","W","2400"
"244","2016-02-29T00:00:00","TMIN","GHCND:USW00014836",-43,"","","W","2400"
"245","2016-02-29T00:00:00","WDF2","GHCND:USW00014836",260,"","","W",""
"246","2016-02-29T00:00:00","WSF2","GHCND:USW00014836",161,"","","W",""
"247","2016-02-29T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
